selected_stock,leg_stock,pvalue
D,JCI,2.57e-14
CL,JCI,7.61e-14
HSY,JCI,2.23e-12
DUK,JCI,3.01e-11
BF-B,JCI,8.7e-10
DTE,JCI,1.67e-09
ES,JCI,7.21e-09
CNP,JCI,8.6e-09
GIS,JCI,2.89e-08
ABT,JCI,1.38e-07
DUK,GPC,5.17e-07
AEP,JCI,2.05e-06
BAX,JCI,4.11e-06
BMY,JCI,4.61e-06
D,GPC,1.05e-05
CLX,NVR,1.07e-05
ED,JCI,1.23e-05
ABT,SBAC,1.39e-05
D,IT,2.76e-05
D,UPS,2.86e-05
NEE,SPGI,4.76e-05
AEP,PEP,5.38e-05
CLX,EXR,5.48e-05
ADP,TDG,5.65e-05
BDX,STZ,6.05e-05
CLX,HRL,6.83e-05
CL,LEN,8.09e-05
MKC,WEC,8.27e-05
MDLZ,ROP,8.61e-05
BF-B,LEN,9.67e-05
BDX,TFX,0.000153503
PEG,SYK,0.000163888
SYY,WM,0.000165489
ABT,LEN,0.000167482
PEG,XRAY,0.000173806
KO,LEN,0.000200306
HSY,LKQ,0.000204287
EIX,XRAY,0.000214664
ES,IT,0.000227777
DTE,MTD,0.000270453
MDLZ,SBUX,0.00029083
AEP,KLAC,0.00033034
LMT,STZ,0.000332242
BDX,JCI,0.000341974
DUK,WELL,0.0003434
NI,TFX,0.000360142
KO,SPG,0.000379443
PG,WY,0.000408261
LLY,MOH,0.000456884
KO,WTW,0.000498086
BDX,BR,0.000521852
MKC,O,0.000596224
ES,ROP,0.000599656
K,PGR,0.000602025
ADP,FIS,0.000624801
CL,DHI,0.000635283
MDLZ,TRV,0.00065379
PEP,SPGI,0.000694413
TAP,VMC,0.000697736
BDX,MLM,0.000706468
EIX,KLAC,0.000722504
ABT,REGN,0.000784226
CL,GPC,0.000788181
D,ROP,0.000802218
AEP,XRAY,0.000822632
LMT,TMUS,0.000832256
BAX,CPRT,0.000842918
PEP,XRAY,0.00084317
PFE,ROP,0.000854052
CMS,LH,0.000939582
LNT,MTD,0.000985727
ABT,WAB,0.00101989
DTE,TRV,0.001040741
